app,good_count,bad_count,total_count,good_rate_pct,bad_rate_pct,risk_ratio
id.co.hypermart.hicard,5,0,5,0.0148,0.0,0.0
com.plusphone.android,4,0,4,0.0119,0.0,0.0
id.motioncredit.app,3,0,3,0.0089,0.0,0.0
com.netflix.NGP.FootballManagerMobile,3,0,3,0.0089,0.0,0.0
co.id.mtf.one,3,0,3,0.0089,0.0,0.0
com.programato.binarweb,3,0,3,0.0089,0.0,0.0
com.games.bus.arrival,3,0,3,0.0089,0.0,0.0
com.electroniccity.ecm,3,0,3,0.0089,0.0,0.0
com.armada.ksafleetdriverapp,3,0,3,0.0089,0.0,0.0
com.weberdo.apps.serviceinfo,3,0,3,0.0089,0.0,0.0
net.fileminer.android,3,0,3,0.0089,0.0,0.0
com.finance.money.manageexpense,3,0,3,0.0089,0.0,0.0
com.mdiwebma.screenshot,3,0,3,0.0089,0.0,0.0
com.finnet.finpaymoney,3,0,3,0.0089,0.0,0.0
id.co.acehardware.acerewards,3,0,3,0.0089,0.0,0.0
com.sdmc.iot.android,3,0,3,0.0089,0.0,0.0
id.tirtabenteng.siganteng,3,0,3,0.0089,0.0,0.0
com.jb.theme.gokeyboard,3,0,3,0.0089,0.0,0.0
com.hotplay.petexplosion,3,0,3,0.0089,0.0,0.0
com.snowcorp.soda.android,3,0,3,0.0089,0.0,0.0
com.gsm.customer,3,0,3,0.0089,0.0,0.0
id.co.bri.biz.app.token,3,0,3,0.0089,0.0,0.0
com.mirror.hsn,3,0,3,0.0089,0.0,0.0
com.hg.cupcakebaking.cakemaker.bakinggames.icecreamcake,3,0,3,0.0089,0.0,0.0
com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,3,0,3,0.0089,0.0,0.0
com.puzzle.fun.free.blockpuzzle,3,0,3,0.0089,0.0,0.0
com.billiards.city.pool.nation.club,3,0,3,0.0089,0.0,0.0
com.bach.ball.charge,3,0,3,0.0089,0.0,0.0
com.fdtradev.wish,2,0,2,0.0059,0.0,0.0
my.trevo.trevoapp,2,0,2,0.0059,0.0,0.0
com.compassfree.digitalcompass.forandroid.app,2,0,2,0.0059,0.0,0.0
com.xs2theworld.cxmobile,2,0,2,0.0059,0.0,0.0
com.otoreport.tokotax,2,0,2,0.0059,0.0,0.0
com.lightricks.quickshot,2,0,2,0.0059,0.0,0.0
com.erm.dzikir.pagipetang,2,0,2,0.0059,0.0,0.0
com.mirrorapp.magnifier.camera.mirror.mirrorcam.editor,2,0,2,0.0059,0.0,0.0
com.boostedproductivity.app,2,0,2,0.0059,0.0,0.0
com.kredit.isaya,2,0,2,0.0059,0.0,0.0
com.time_management_studio.my_daily_planner,2,0,2,0.0059,0.0,0.0
com.gametion.snakesladders,2,0,2,0.0059,0.0,0.0
business.card.game,2,0,2,0.0059,0.0,0.0
com.amb.draw.to.childhoods,2,0,2,0.0059,0.0,0.0
com.mocoo.hang.rtprinter,2,0,2,0.0059,0.0,0.0
com.kumon.mykumon,2,0,2,0.0059,0.0,0.0
com.haidilao.intl,2,0,2,0.0059,0.0,0.0
com.animator,2,0,2,0.0059,0.0,0.0
net.xnano.android.photoexifeditor,2,0,2,0.0059,0.0,0.0
com.appovo.bmicalculator,2,0,2,0.0059,0.0,0.0
com.firsttouchgames.dls3,2,0,2,0.0059,0.0,0.0
com.digiphoto.android,2,0,2,0.0059,0.0,0.0
