feature_name,iv,psi,coverage,pass_status,description
fdc_inquiry_3d_count,0.1523,0.0876,0.9823,通过,近3天FDC查询机构数
fdc_active_platform_ratio,0.0987,0.1234,0.9541,通过,活跃平台数与总查询数比率
app_gambling_count,0.2134,0.0942,0.6712,通过,赌博类APP安装数量
app_fintech_ratio,0.0876,0.1567,0.8921,通过,金融科技类APP占比
fdc_inquiry_30d_unique,0.1765,0.1102,0.9910,通过,近30天不同查询机构数
salary_to_debt_ratio,0.0654,0.2054,0.4523,通过,收入与FDC债务比率
app_clone_detected,0.3210,0.0789,0.1234,通过,检测到克隆应用
fdc_overdue_rate_6m,0.2543,0.0891,0.7432,通过,近6月逾期率
app_install_weekend_ratio,0.0432,0.2345,0.9987,不通过,周末安装APP占比
fdc_inquiry_night_ratio,0.0356,0.3123,0.8765,不通过,夜间查询占比
app_store_app_count,0.0210,0.1987,0.5432,通过,第三方应用商店APP数
workyears_to_income,0.0123,0.4567,0.8876,不通过,工作年限与收入比
fdc_loan_amt_avg,0.1890,0.0654,0.9123,通过,FDC平均贷款金额
app_fake_gps_detected,0.2876,0.0543,0.0876,通过,检测到虚拟定位APP
marita_children_interact,0.0098,0.5123,0.7654,不通过,婚姻与子女交叉特征
fdc_platform_change_30d,0.1345,0.1876,0.6543,通过,近30天平台变动数
app_productivity_ratio,0.0456,0.1234,0.9991,通过,效率类APP占比
fdc_inquiry_reason_diversity,0.0987,0.0765,0.8765,通过,FDC查询原因多样性
